"__label__positive Regular Ryanair customer. Flew back from Alicante on Friday 18 th March 2022 into Shannon. Perfect flight and landed 15 minutes early. But wanted to commend a few things. The cabin crew were excellent, very professional. The landing was so smooth I didn’t realise we where on the ground. But I do wish to single out the senior flight attendant. I was carrying some duty free as well as my 10 kg case which was heavy. The steps off the plane were steep which normally I’ll cope with. But I asked this young man if I could leave my case till I get down the steps and then come back up and get it. Not at all he said I’ll take down for you. He was a gentleman. I thanked him and he said it was his pleasure. One final thought it was the first time I heard senior cabin crew thank his colleagues for their help and hard work during flight. Nice touch I thought. I know this man was not Irish but thanked the passengers for flying Ryanair in Irish. Excellent. To be commended. Well done Ryanair customer service. "
__label__positive  The flight from Poznan to Birmingham was most enjoyable flight. We fly 3-4 times a month but never received service like this. 
"__label__positive Let me make it short. Near on time departure early arrival. Super friendly check in as security staff at Charleroi airport (love Belgian hospitality). Fantastic crew on airplane giving very professional service so much so that one of the ladies airline stewardesses took care of a baby while her mother went to the restrooms. Perfect service for a very cheap price, Ryanair I am a very satisfied customer."
__label__positive  I flew from Prestwick to Arrecife on 20/11/2020. Ground staff very friendly and helpful. The cabin crew were excellent. Really efficient providing a fantastic onboard service all with a smile and couldn't do enough. 
"__label__positive  I was quite apprehensive about booking with Ryanair having read many poor reviews, so, I read and reread the booking site until I understood what was required. The booking process was simple and easy to follow and I completed it without problems. There was a flight time change which was notified by email. On the days of travel both flights were on time, both staffed by pleasant and efficient cabin crew. The cabin was clean and Covid rules were followed. The seats were OK for short haul flights but hard. We used neither catering or duty free purchasing.We had an enjoyable experience and have no complaints. We will certainly do it again."
__label__positive  I hadn't been travelling for 2 years since covid. I used to travel a lot but always was flight 'sick'! I hate take-offs and landings and I think that the best take-offs I had in years was on my flight to London! It was smooth and neat! Pilots don't often get to be congratulated on their skills but I do believe that it takes a lot to ensure that the experience on the flight is seamless even with a couple of turbulences! So congrats to the crew for making me want to travel again despite my fears!
"__label__positive Just to record praise where it’s due. For some reason unknown to myself, despite flying about a hundred flights a year for years, I stupidly forgot my passport for this trip to Seoul. I managed to retrieve with Uber from home but it meant I was still at checkin just 20 mins before departure. The SAS/Lufthansa checkin staff did an amazing job and showed incredible flexibility to somehow get me onboard. Thanks a million for fantastic service which won’t be forgotten!"
"__label__positive I wanted to thank Emmanuel Ramos and his team for helping my husband and I navigate the airport boarding, ticketing and assist with our 2 oversized pets. His behavior was extremely professional and kind in a hectic environment and he multi-tasked consistently and cheerfully. He went above and beyond to help make our flight comfortable and make sure that we had everything squared away. If he is an example of the kind of people that Lufthansa hires, than it is no wonder that they are a 5 star airline! Such excellent service!"
"__label__positive  Wonderful flights, flying like in the good old days. Good food, open bar, friendly FAs, good IFE with lots of good films/music, even on short European flights you get a snack and an open bar. They even let me check my bag for free both ways. Fantastic."
"__label__positive I booked with KLM which was a nightmare. I was supposed to fly Air France SG to Rome and with KLM from Rome to SG but I changed my flight. Since my booking was made with KLM, it was impossible to get a hold of anyone when my VTL flight was cancelled and I was reassigned a non VTL flight. Air France was very professional despite my upset state and rearranged everything for me, and both my flights during this trip was extremely pleasant. The crew was very nice and helpful. I would next time just book directly with Air France. I would like to add that ground staff at CDG did a great job too. Thank you Air France!"
"__label__positive  Short flight on a brand new two and a half week old airplane. Air France delivered great service as expected. Check in at Charles de Gaulle was quick and friendly, but the terminal was pretty full once we got to security. Boarding was very fast on this full flight. I ended up falling asleep so didn’t get a snack but when I woke up I was offered two bottle of wine by the crew. Upon landing in Madrid I was able to take a picture of the cockpit. Very nice plane with a brand new smell and friendly crew. "
"__label__positive  Flew Air France for the first time on Thanksgiving Day for a quick trip to Europe. Check in was a breeze since the flight was only had full, once we boarded they’re was a blanket, pillow and headphones on each seat. Most passengers had their own row, which was great since it was an overnight flight and sleep was needed. Service onboard was fantastic, tasty dinner with champagne and wine, snacks in the back for mid flight and prior to landing a small baggie with a quick breakfast was offered. Inflight entertainment had a very good choice of movies and music to pass the time along."
"__label__positive  The best flight since Covid on any carrier. Efficient friendly service, delicious food and drinks served in glassware and cutlery. Proving current cuts in service on other carriers is not as claimed, Covid related. Good seat, good entertainment, great experience. A few points of for not checking belts and upright seats for landing but other than that great!"
"__label__positive  I really appreciated the Air France. They were punctual, the flight attendants were amazing, polite & humble. Respond when needed. The food was good & the announcement was clear. When I was using online check in to get boarding pass, it was really perfect & I could easily use the check in & the boarding pass process with my cellphone, so there was no need of looking or searching for a laptop in the hotel where I stayed. I really recommend Air France for travel."
